JNAME,JDESCRIPTION,DEPARTMENT_ID
Groundskeeper,"Maintains university grounds, including landscaping, lawn care, and snow removal.",9
IT Manager,"Oversees IT operations, develops and implements IT strategies, and manages IT resources and personnel.",10
Network Administrator,"Manages and maintains the university network infrastructure, monitors network performance, and troubleshoots network issues.",10
Systems Analyst,"Analyzes user requirements, designs and develops IT systems, and provides technical support and troubleshooting.",10
Database Administrator,"Manages and administers the universitys databases, performs database optimization and maintenance, and ensures data security.",10
IT Help Desk Technician,"Provides technical support to users, resolves IT-related issues, and assists with software and hardware installations.",10
Residence Life Coordinator,"Oversees residence halls, supervises resident assistants, and implements programs and policies to enhance residential life.",11
Residence Director,"Manages a residential complex, coordinates housing assignments, and provides support to residents.",11
Housing Operations Coordinator,"Manages housing applications and assignments, coordinates room inspections, and maintains housing records.",11
Residential Education Specialist,Develops and implements educational and community-building programs within the residence halls.,11
Residential Facilities Manager,"Oversees maintenance and repairs in residence halls, manages facility projects, and ensures a safe and comfortable living environment.",11
Director of Student Activities,"Provides leadership to student activities programs, oversees campus events, and promotes student engagement.",12
Student Activities Coordinator,"Assists with planning and organizing campus events, manages student organizations, and coordinates student leadership development programs.",12
Event Planner,"Plans and coordinates various events on campus, including conferences, workshops, and social activities.",12
Club and Organization Advisor,"Provides guidance and support to student clubs and organizations, assists with event planning, and facilitates leadership development.",12
Intramural Sports Coordinator,"Organizes and manages intramural sports programs, schedules competitions, and oversees sports facilities.",12
Director of Career Services,"Provides leadership to career services programs, develops career resources, and facilitates career development initiatives.",13
Career Advisor,"Provides career counseling and guidance to students, assists with job search strategies, and conducts career assessments.",13
Employer Relations Specialist,"Builds and maintains relationships with employers, facilitates recruitment events, and connects students with job opportunities.",13
Resume/Cover Letter Consultant,"Provides assistance with resume and cover letter writing, conducts workshops, and offers feedback on job application materials.",13
Internship Coordinator,"Coordinates internship programs, assists students in securing internships, and provides support throughout the internship experience.",13
Director of International Programs,"Oversees international exchange programs, develops study abroad opportunities, and supports international students.",14
Study Abroad Advisor,"Provides guidance to students interested in studying abroad, assists with program selection, and manages application processes.",14
International Student Advisor,"Offers support and guidance to international students, assists with immigration and visa-related matters, and promotes cross-cultural understanding.",14
International Programs Coordinator,"Coordinates logistics for international programs and events, develops partnerships with international institutions, and facilitates cultural exchanges.",14
Global Learning Specialist,"Designs and delivers global learning initiatives, develops intercultural competency training, and promotes global awareness on campus.",14
Marketing Manager,"Develops marketing strategies, manages marketing campaigns, conducts market research, and oversees branding and promotional activities.",15
Digital Marketing Specialist,"Executes digital marketing campaigns, manages social media platforms, analyzes marketing analytics, and implements SEO strategies.",15
Marketing Coordinator,"Assists with marketing initiatives, coordinates marketing events, prepares marketing materials, and supports marketing campaigns.",15
Marketing Analyst,"Analyzes marketing data, tracks marketing performance metrics, conducts market research, and provides insights for marketing strategies.",15
Public Relations Specialist,"Manages public relations activities, develops press releases and media kits, cultivates media relationships, and handles crisis communications.",15
